GemCad 4.51
g 96 96.0
y 2 n
I 1.54
H PC 06.017 Diagonal Table
H Howell, Quincy D: The Faceter's Gem v2 (1977) n54
a -90.00 0.58021 0 48
a -90.00 0.87513 72 24
a -58.00 0.48663 0 48
a -58.00 0.73673 72 24
a -53.00 0.47693 0 48
a -53.00 0.71246 72 24
a -48.00 0.47815 0 48
a -48.00 0.69732 72 24
a -43.00 0.49174 0 48
a -43.00 0.69287 72 24
a 60.00 0.52805 0 48
a 60.00 0.78346 24 72
a 34.76 0.40476 1 49
a 41.34 0.64025 23 71
a 26.00 0.34822 2 50
a 33.37 0.56166 22 70
a 18.26 0.29516 4 52
a 20.61 0.41060 18 66
a 0.00 0.25114 0
